"Lines","Long","Lat","crop","elevation_m"
"88",0.683333,47.4,"arabidopsis",74
"108",-4.06667,48.5167,"arabidopsis",96
"139",-4.06667,48.5167,"arabidopsis",96
"159",3.93333,47.35,"arabidopsis",346
"265",-1.16667,44.65,"arabidopsis",0
"350",4.11667,46.6667,"arabidopsis",308
"351",4.11667,46.6667,"arabidopsis",308
"403",16.2667,49.3667,"arabidopsis",443
"410",16.3497,49.4211,"arabidopsis",512
"424",16.2815,49.4112,"arabidopsis",512
"428",16.232,49.403,"arabidopsis",512
"430",15.5,47,"arabidopsis",371
"470",-87.735,40.8313,"arabidopsis",193
"476",-87.735,40.8313,"arabidopsis",193
"484",-87.735,40.8313,"arabidopsis",193
"504",-87.735,40.8313,"arabidopsis",193
"506",-87.735,40.8313,"arabidopsis",193
"531",-87.735,40.8313,"arabidopsis",193
"544",-73.2089,40.9076,"arabidopsis",19
"546",-73.2089,40.9076,"arabidopsis",19
"628",-72.9069,40.7777,"arabidopsis",4
"630",-72.9069,40.7777,"arabidopsis",4
"680",-72.8615,40.9447,"arabidopsis",27
"681",-72.8615,40.9447,"arabidopsis",27
"685",-73.1493,40.9064,"arabidopsis",18
"687",-73.1493,40.9064,"arabidopsis",18
"728",-73.114,40.9352,"arabidopsis",18
"742",-73.114,40.9352,"arabidopsis",18
"763",74.3667,42.3,"arabidopsis",3000
"765",73.41,42.19,"arabidopsis",2664
"766",73.6333,42.5833,"arabidopsis",2346
"768",76.35,42.8,"arabidopsis",2618
"772",72.4667,37.35,"arabidopsis",4114
"801",-84.4639,37.9169,"arabidopsis",297
"853",-86.6691,41.7976,"arabidopsis",197
"854",-86.6691,41.7976,"arabidopsis",197
"867",-86.4366,41.8266,"arabidopsis",220
"868",-86.4366,41.8266,"arabidopsis",220
"870",-86.4366,41.8266,"arabidopsis",220
"915",-71.4378,41.8972,"arabidopsis",61
"932",-71.1445,42.3634,"arabidopsis",25
"991",14.0526813,55.3822641,"arabidopsis",0
"992",14.0526813,55.3822641,"arabidopsis",0
"997",14.0526813,55.3822641,"arabidopsis",0
"1002",14.0526813,55.3822641,"arabidopsis",0
"1006",14.0526813,55.3822641,"arabidopsis",0
"1061",14.1333,55.7167,"arabidopsis",89
"1062",14.1333,55.7167,"arabidopsis",89
"1063",14.1333,55.7167,"arabidopsis",89
"1066",14.1333,55.7167,"arabidopsis",89
"1070",14.1333,55.7167,"arabidopsis",89
"1158",16.5167,56.7,"arabidopsis",14
"1166",16.5167,56.7,"arabidopsis",14
"1254",17.0167,59.4333,"arabidopsis",16
"1257",17.0167,59.4333,"arabidopsis",16
"1313",16.8667,59.5667,"arabidopsis",25
"1317",16.8667,59.5667,"arabidopsis",25
